#mapping_fp	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	DIET	AGE	HEALTHY
Bushman_entereotypes_cafe/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Bushman_entereotypes_combo/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Carrol_storage_study/summarize_taxa/mapping_file_L2.txt	No	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	No	No	Yes
Claesson_elderly_gut/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Costello_whole_body_sites/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Defilippo_childres_and_diets/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	CLINICAL_CONDITION	AGE	Yes
HMP_v35/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Jansson_twins_ibd/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	DISEASE_STAT2
Koren_oral_gut_plaque/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
Martinez_resistant_starches/summarize_taxa/mapping_file_L2.txt	No	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Momozawa_colon_biopsies_and_stool/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	DISEASE_STATUS
Muegge_mammals_paper_human_samples_16S/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	No	COUNTRY	HOST_SUBJECT_ID	DIET	No	Yes
Relman_antibiotic_timeseries/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	ANTIBIOTIC
Yatsunenko_global_gut_illumina/summarize_taxa/mapping_file_L2.txt	BODY_SITE	ELEVATION	SEX	COUNTRY	HOST_SUBJECT_ID	No	AGE	Yes
