 	ulcerative colitis	none	Icolonic Crohn's disease	SecondCp	ileal Crohn's disease	Crohn's disease	healthy	preCp	polyps	ulcerative colitis-PROC	FirstCp	ileal and colonic Crohn's disease with ulcerative colitis	Interim	ulcerative colitis-LS	SecondWPC	FirstWPC	ulcerative colitis-EXT	colonic Crohn's disease	PostCp	ileal Crohn's disease with ulcerative colitis
ulcerative colitis	(1.88957933992,0.525658385454,1.39666705996,3.0)	(1.50581782653,0.304568144826,1.210215032,2.04971129024)	(1.43017648084,0.274810790769,1.19705713726,1.92040694789)	(1.27760707059,0.114816361392,1.18829080159,1.58351185824)	(0.158839480418,0.305179728294,0.0206783719487,1.02676618893)	(0.160621718955,0.303053717268,0.0206783719487,0.996231331632)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.55650196571e-05,0.000352115435177,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.4168599109e-05,0.000450997119336,0.0,0.0)	(2.62362516134e-05,0.000486707018743,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)
none	(1.50581782653,0.304568144826,1.210215032,2.04971129024)	(2.46204901449,0.547722841536,1.90437681159,3.0)	(1.96632754147,0.354252333397,1.73427878523,3.0)	(1.3817425298,0.155665422389,1.26072850078,1.77514536544)	(0.17207644209,0.322208661217,0.0206783719487,1.04374628137)	(0.168443985282,0.318085822174,0.0206783719487,1.04373676001)	(1.83064850702e-05,0.000578612364393,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.05007461749e-05,0.000331896677537,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.13394526967e-07,3.58405642078e-06,0.0,0.0)
Icolonic Crohn's disease	(1.43017648084,0.274810790769,1.19705713726,1.92040694789)	(1.96632754147,0.354252333397,1.73427878523,3.0)	(1.0,0.0,1.0,1.0)	(1.49615241433,0.195451163936,1.30933151585,1.92242877749)	(0.179837866744,0.346546840499,0.0206783719487,1.1645215844)	(0.174000379666,0.333093161874,0.0206783719487,1.11398656474)	(7.31143727435e-05,0.000953075132684,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.45371448734e-05,0.000333176054899,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
SecondCp	(1.27760707059,0.114816361392,1.18829080159,1.58351185824)	(1.3817425298,0.155665422389,1.26072850078,1.77514536544)	(1.49615241433,0.195451163936,1.30933151585,1.92242877749)	(1.7086862056,0.115721643501,1.60746104531,1.9560689681)	(0.167409485476,0.346545331733,0.0206783719487,1.22988480586)	(0.1763996918,0.353530273402,0.0206783719487,1.18900824863)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(9.02601919002e-06,0.000285285038858,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.02938271361e-05,0.000453496852958,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(9.96277876073e-06,0.000314893162318,0.0,0.0)	(1.21412413634e-05,0.000272022463093,0.0,0.0)	(6.53900046707e-06,0.000206677934432,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.93570675654e-05,0.000469260763001,0.0,0.0)	(2.76151458075e-05,0.000449684198245,0.0,0.0)
ileal Crohn's disease	(0.158839480418,0.305179728294,0.0206783719487,1.02676618893)	(0.17207644209,0.322208661217,0.0206783719487,1.04374628137)	(0.179837866744,0.346546840499,0.0206783719487,1.1645215844)	(0.167409485476,0.346545331733,0.0206783719487,1.22988480586)	(0.181055369073,0.372024205585,0.0250212125835,1.38997408862)	(0.181092679662,0.382805587448,0.0250212125835,1.41104409133)	(2.84963151257e-05,0.000679462489936,0.0,0.0)	(2.53455679918e-05,0.000475018091911,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(9.02601919002e-06,0.000285285038858,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(2.44999236341e-05,0.000458120427963,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(9.06869215345e-06,0.000282432588731,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)
Crohn's disease	(0.160621718955,0.303053717268,0.0206783719487,0.996231331632)	(0.168443985282,0.318085822174,0.0206783719487,1.04373676001)	(0.174000379666,0.333093161874,0.0206783719487,1.11398656474)	(0.1763996918,0.353530273402,0.0206783719487,1.18900824863)	(0.181092679662,0.382805587448,0.0250212125835,1.41104409133)	(2.87298256207,0.0601680211759,2.81431844441,3.0)	(3.05111914961e-05,0.00049924556725,0.0,0.0)	(2.4168599109e-05,0.000450997119336,0.0,0.0)	(2.42681054705e-05,0.000547487588464,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(1.37548266691e-05,0.000434748273647,0.0,0.0)	(1.60244044848e-05,0.000373831265928,0.0,0.0)	(1.93570675654e-05,0.000469260763001,0.0,0.0)	(1.97719775263e-05,0.000624932127678,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
healthy	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(1.83064850702e-05,0.000578612364393,0.0,0.0)	(7.31143727435e-05,0.000953075132684,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(2.84963151257e-05,0.000679462489936,0.0,0.0)	(3.05111914961e-05,0.00049924556725,0.0,0.0)	(1.38459418821e-05,0.000437628148655,0.0,0.0)	(1.05007461749e-05,0.000331896677537,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(2.05760628859e-05,0.000505150545551,0.0,0.0)	(1.45371448734e-05,0.000333176054899,0.0,0.0)	(2.34720488504e-05,0.000436462122229,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(2.06016109541e-05,0.000651154319289,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)
preCp	(1.55650196571e-05,0.000352115435177,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(9.02601919002e-06,0.000285285038858,0.0,0.0)	(2.53455679918e-05,0.000475018091911,0.0,0.0)	(2.4168599109e-05,0.000450997119336,0.0,0.0)	(1.05007461749e-05,0.000331896677537,0.0,0.0)	(1.4544233762,0.0678649069993,1.38965455347,1.63243474625)	(1.13653364301,0.252206123803,0.916622127204,1.57592049527)	(1.13142398426,0.248230303449,0.916622127204,1.55467546325)	(1.04842378754,0.152694124558,0.916622127204,1.39891418368)	(1.05466650801,0.152241284554,0.916622127204,1.39891418368)	(1.01347480027,0.107828063932,0.916622127204,1.21025933141)	(1.01733438732,0.109575009995,0.916622127204,1.232596604)	(0.591318999282,0.320551905919,0.292596944771,1.14499182017)	(0.549533032111,0.269551426186,0.292596944771,1.10189711385)	(0.567370361815,0.266066169235,0.292596944771,1.10175528906)	(0.464195509465,0.180433553927,0.292596944771,0.862977990063)	(0.466739860081,0.179621572647,0.292596944771,0.884992008428)	(0.485075594585,0.187339275793,0.292596944771,0.884992008428)
polyps	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(5.60224089636e-06,0.000177069810972,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.46282600864e-05,0.000335619039219,0.0,0.0)	(2.42681054705e-05,0.000547487588464,0.0,0.0)	(8.93490397702e-06,0.000282405163851,0.0,0.0)	(1.13653364301,0.252206123803,0.916622127204,1.57592049527)	(2.34458028169,0.66333251659,1.67323943662,3.0)	(1.40472051303,0.440452513337,1.01793504605,2.40139998544)	(1.15965705977,0.15537624926,1.01793504605,1.48961100637)	(1.15384202616,0.152895153791,1.01793504605,1.50871131549)	(1.08363499974,0.110115957752,0.982794577686,1.28605394304)	(1.08195495175,0.108315762966,0.982794577686,1.27832432723)	(0.612418171866,0.329189766913,0.292596944771,1.18589602578)	(0.549736714176,0.266008587514,0.292596944771,1.10742828072)	(0.555729848795,0.272811054093,0.292596944771,1.12530416541)	(0.471092371318,0.18608647398,0.292596944771,0.899656866646)	(0.473013765118,0.180435674944,0.292596944771,0.862413528054)	(0.475154164213,0.180168773845,0.292596944771,0.884993435776)
ulcerative colitis-PROC	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.04221635884e-05,0.000329412920769,0.0,0.0)	(2.02938271361e-05,0.000453496852958,0.0,0.0)	(0.0,0.0,0.0,0.0)	(0.0,0.0,0.0,0.0)	(1.12044817927e-05,0.000250289164187,0.0,0.0)	(1.13142398426,0.248230303449,0.916622127204,1.55467546325)	(1.40472051303,0.440452513337,1.01793504605,2.40139998544)	(2.00716606699,0.392478608654,1.62274291925,2.77867907985)	(1.33231846212,0.104266813969,1.24093207583,1.54784979219)	(1.33604669931,0.0974666413854,1.24093207583,1.52721753431)	(1.21742763751,0.0402845636973,1.18575600095,1.32329172461)	(1.21401319245,0.0355978918861,1.18575600095,1.31157616044)	(0.74340903012,0.313212740251,0.495490187767,1.22641595867)	(0.661386328438,0.24696379453,0.471941311416,1.13103452815)	(0.673608937552,0.253906991006,0.471941311416,1.14777871008)	(0.607524437665,0.163183779442,0.471941311416,0.942149941435)	(0.60670770215,0.16330326306,0.471941311416,0.942156689558)	(0.589767442203,0.156283120976,0.471941311416,0.923205742997)
